fips,state,county,trump16,clinton16,otherpres16,romney12,obama12,otherpres12,demsen16,repsen16,othersen16,demhouse16,rephouse16,otherhouse16
1001,Alabama,Autauga,18172,5936,865,17379,6363,190,6331,18220,62,7544,14315,2258
1003,Alabama,Baldwin,72883,18458,3874,66016,18424,898,19145,74021,248,0,76995,1991
1005,Alabama,Barbour,5454,4871,144,5550,5912,47,4777,5436,16,5297,4286,463
1007,Alabama,Bibb,6738,1874,207,6132,2202,86,2082,6612,17,1971,6670,15
1009,Alabama,Blount,22859,2156,573,20757,2970,279,2980,22169,48,2390,22367,47
1011,Alabama,Bullock,1140,3530,40,1251,4061,10,3364,1167,6,3517,889,80
1013,Alabama,Butler,4901,3726,105,5087,4374,35,3663,4840,7,4088,3918,321
1015,Alabama,Calhoun,32865,13242,1757,30278,15511,468,14152,32976,69,14000,33175,75
1017,Alabama,Chambers,7843,5784,273,7626,6871,114,5845,7865,18,5796,7907,16
1019,Alabama,Cherokee,8953,1547,233,7506,2132,141,1915,8636,7,1702,8707,12
1021,Alabama,Chilton,15081,2911,377,13932,3397,133,3327,14582,25,2996,14723,12
1023,Alabama,Choctaw,4106,3109,77,4152,3786,30,2992,4035,8,4332,0,94
1025,Alabama,Clarke,7140,5749,142,7470,6334,47,5558,7158,14,5214,2848,127
1027,Alabama,Clay,5245,1237,142,4817,1777,68,1377,5147,4,1317,5231,4
1029,Alabama,Cleburne,5764,684,145,5272,971,62,847,5554,6,769,5644,4
1031,Alabama,Coffee,15875,4221,671,14666,4925,179,4498,15745,49,5917,10877,3087
1033,Alabama,Colbert,16746,7312,857,13936,9166,283,8443,15866,28,0,16676,319
1035,Alabama,Conecuh,3420,3080,85,3439,3555,28,3006,3298,7,3209,2889,43
1037,Alabama,Coosa,3381,1782,89,3049,2191,29,1788,3378,8,1766,3337,3
1039,Alabama,Covington,13267,2387,286,12153,3158,112,2740,12690,36,3759,9540,1809
1041,Alabama,Crenshaw,4513,1664,90,4331,2050,37,1734,4392,11,2217,3287,499
1043,Alabama,Cullman,32989,3798,1086,28999,5052,406,5207,32001,57,0,33239,311
