state,county,rgdp2012,rgdp2013,rgdp2014,rgdp2015
AL,Autauga,1383941,1322416,1312668,1412939
AL,Baldwin,5599194,6218819,6247887,5981958
AL,Barbour,639833,687532,663462,708778
AL,Bibb,297560,314380,305472,291780
AL,Blount,632761,683949,661352,778131
AL,Bullock,191052,185250,170520,169621
AL,Butler,514216,510470,488051,510960
AL,Calhoun,4073476,3918440,3780726,3750456
AL,Chambers,567650,613470,653977,667159
AL,Cherokee,443582,467206,435311,412342
AL,Chilton,715347,764758,737867,739287
AL,Choctaw,524082,488313,501011,470631
AL,Clarke,700361,708413,710848,717501
AL,Clay,232085,261017,261037,265276
AL,Cleburne,249914,248261,254896,284071
AL,Coffee,1084201,1088751,1112386,1237578
AL,Colbert,2393641,2640273,2757890,2876934
AL,Conecuh,256668,258811,248926,246082
AL,Coosa,118371,123568,128630,125727
AL,Covington,978150,1022605,997884,999820
AL,Crenshaw,387037,418156,375890,382326
AL,Cullman,2301223,2364721,2314983,2299075
AL,Dale,2756921,2819437,2689058,2676064
AL,Dallas,1125070,1112684,1090446,1042780
AL,DeKalb,1485948,1688899,1656070,1684337
AL,Elmore,1396129,1497274,1511276,1537004
AL,Escambia,1056880,1038718,1015770,996597
AL,Etowah,2607155,2580422,2529908,2537130
AL,Fayette,260930,264086,261565,262842
AL,Franklin,720181,780664,705590,702000
AL,Geneva,406627,430780,418366,437309
AL,Greene,246604,230026,223915,198632
AL,Hale,226473,264111,242492,251413
AL,Henry,259333,290103,297272,294677
AL,Houston,4122576,4164957,4104867,4030351
AL,Jackson,1327414,1371337,1352030,1254897
AL,Jefferson,42005734,41051828,40026017,40267211
AL,Lamar,276202,265718,255999,245499
AL,Lauderdale,2325961,2402292,2350008,2298453
AL,Lawrence,728868,679450,587433,477055
AL,Lee,4668575,5206210,5405859,5980010
AL,Limestone,2704953,2862219,2988146,3150965
AL,Lowndes,357630,383814,361485,337731
AL,Macon,437454,438399,399303,387698
AL,Madison,20870718,20963910,21209589,21398559
AL,Marengo,574835,587910,598854,592137
AL,Marion,694213,738945,685390,683158
AL,Marshall,2576840,2782135,2649827,2686505
AL,Mobile,17983867,17594349,17259624,17221153
AL,Monroe,623195,550283,583397,688517
AL,Montgomery,13104289,13143702,13142737,13439829
AL,Morgan,4183977,4275717,4300763,4312042
AL,Perry,179161,176489,169305,165089
AL,Pickens,274572,329564,336787,346536
AL,Pike,1142083,1132379,1206137,1278942
AL,Randolph,335720,367563,339375,340952
AL,Russell,1201079,1187457,1327831,1395915
AL,St. Clair,1458587,1571339,1568338,1585838
AL,Shelby,8391914,8565897,8885097,9735187
AL,Sumter,240325,243873,246068,231168
AL,Talladega,2422265,2732987,2699773,2685765
AL,Tallapoosa,1004256,981983,1034275,1048934
AL,Tuscaloosa,10199891,9989993,9330105,9323664
AL,Walker,1577706,1599522,1599977,1565304
AL,Washington,690145,697845,744718,637320
AL,Wilcox,296863,298271,314351,318680
AL,Winston,484525,512695,481939,490932
AK,Aleutians East Borough,111032,133530,133387,164319
AK,Aleutians West Census Area,363807,399436,378922,386878
AK,Anchorage Municipality,27571441,26135685,25071285,25548523
AK,Bethel Census Area,699678,674796,656391,640556
AK,Bristol Bay Borough,104109,115158,109022,104246
AK,Denali Borough,254910,232016,234118,217615
AK,Dillingham Census Area,224497,237621,244880,236493
AK,Fairbanks North Star Borough,5489188,5467710,5649698,5675709
AK,Haines Borough,64685,71862,71322,69321
AK,Hoonah-Angoon Census Area,54407,60500,59461,69987
AK,Juneau City and Borough,2279424,2266269,2293619,2220596
AK,Kenai Peninsula Borough,3140724,3375189,3316261,3317994
AK,Ketchikan Gateway Borough,802339,747975,751924,758517
AK,Kodiak Island Borough,741748,780404,808878,827596
AK,Kusilvak Census Area,127397,123478,128853,122856
AK,Lake and Peninsula Borough,68147,70349,71291,73772
AK,Matanuska-Susitna Borough,2233060,2209831,2284002,2356921
AK,Nome Census Area,402931,395458,405640,389845
AK,North Slope Borough,8920976,7251453,6596616,6516645
AK,Northwest Arctic Borough,628118,667707,659604,594456
AK,Petersburg Borough,146199,131078,134911,171559
AK,Prince of Wales-Hyder Census Area,229136,247470,243495,252879
AK,Sitka City and Borough,404873,415731,429511,428095
AK,Skagway Municipality,67100,76612,69115,74486
AK,Southeast Fairbanks Census Area,603699,630902,613317,546226
AK,Valdez-Cordova Census Area,1535094,1473383,1517315,1588761
AK,Wrangell City and Borough,60622,75050,75842,82600
AK,Yakutat City and Borough,24391,33151,27378,21186
AK,Yukon-Koyukuk Census Area,316396,277385,226243,223047
AZ,Apache,2506715,2304349,2120316,2050145
AZ,Cochise,4114722,4011109,3997757,4145982
AZ,Coconino,5948938,6097882,6183283,6190582
AZ,Gila,1595348,1844747,1707682,1666253
AZ,Graham,672246,679410,687027,679504
AZ,Greenlee,1263702,1442973,1568854,1317667
AZ,La Paz,496754,526827,516902,537547
AZ,Maricopa,191057142,193275432,196682201,202050512
AZ,Mohave,4002396,4126321,4148382,4187366
AZ,Navajo,3027709,3045294,3093098,3148773
AZ,Pima,36093975,34914674,34581301,34815488
AZ,Pinal,6093707,6111021,6121806,6176124
AZ,Santa Cruz,1330985,1318556,1276737,1355814
AZ,Yavapai,4788236,5091208,5272187,5394726
AZ,Yuma,5296249,5372637,5469837,5708847
AR,Arkansas,830826,919818,899571,921592
AR,Ashley,883239,919044,941011,885651
AR,Baxter,1043237,1029600,1058016,1038577
AR,Benton,10704104,11614513,12246465,12404873
AR,Boone,1119565,1096273,1115015,1084672
AR,Bradley,240726,237349,234960,240143
AR,Calhoun,288586,294922,295939,308724
AR,Carroll,652964,711839,690702,672415
AR,Chicot,255790,267791,262103,250331
AR,Clark,726679,773369,773350,733639
AR,Clay,295622,316180,314367,299367
AR,Cleburne,592978,616357,658517,716209
AR,Cleveland,91220,96826,107628,112725
AR,Columbia,887037,892613,935579,826705
AR,Conway,595300,651132,703597,635946
AR,Craighead,3707662,3815810,3867916,4046997
AR,Crawford,1543442,1567656,1558077,1529205
AR,Crittenden,1431966,1495709,1506471,1471731
AR,Cross,438719,440858,429928,428678
AR,Dallas,177988,181465,177889,174201
AR,Desha,428200,447908,437137,420307
AR,Drew,496838,486748,494192,498733
AR,Faulkner,3726513,3634825,3719791,3960480
AR,Franklin,391648,419637,443622,572553
AR,Fulton,150771,167214,172989,169035
AR,Garland,2934315,2784319,2794066,2842955
AR,Grant,303900,315461,324478,320914
AR,Greene,1158505,1169549,1140782,1201211
AR,Hempstead,664534,755263,753608,695263
AR,Hot Spring,781325,758115,683283,767912
AR,Howard,494267,543935,521220,493600
AR,Independence,1445838,1527817,1484872,1268347
AR,Izard,246718,241988,241395,225583
AR,Jackson,471583,471857,475806,442991
AR,Jefferson,3002468,3043082,2908723,2690860
AR,Johnson,578655,614614,611698,616828
AR,Lafayette,122883,141000,147550,196773
AR,Lawrence,313636,328859,336843,328538
AR,Lee,174313,198645,199693,193148
AR,Lincoln,234512,260187,250005,238328
AR,Little River,498522,447421,405003,341070
AR,Logan,429941,452612,445793,470654
AR,Lonoke,1036485,1095396,1096706,1088023
AR,Madison,270693,313479,307479,304949
AR,Marion,383695,372094,371573,463015
AR,Miller,1199015,1094349,1056730,1018412
AR,Mississippi,2155097,2041285,1921226,1892619
AR,Monroe,216154,221146,212882,211338
AR,Montgomery,113913,117764,115567,110254
AR,Nevada,214488,220837,229243,234504
AR,Newton,73313,78457,80130,75839
AR,Ouachita,598731,608848,649798,636431
AR,Perry,101627,103902,96824,105132
AR,Phillips,468293,498849,482883,459991
AR,Pike,201756,214706,213964,207749
AR,Poinsett,521451,533243,543437,543284
AR,Polk,415129,420688,412677,398258
AR,Pope,2503731,2539738,2619674,2770358
AR,Prairie,140058,154004,156725,149351
AR,Pulaski,26338703,26907905,26961899,27484845
AR,Randolph,318848,336254,339476,330982
AR,St. Francis,638792,656650,644173,641229
AR,Saline,1840987,1883318,1876944,1967858
AR,Scott,196991,226630,209303,195058
AR,Searcy,109258,105326,100431,91605
AR,Sebastian,6453074,6454771,6519353,6221658
AR,Sevier,353522,386944,378878,366862
AR,Sharp,255063,260770,256418,252240
AR,Stone,176225,180255,187434,195974
AR,Union,3025342,3323325,3567763,2815907
AR,Van Buren,383114,408442,485182,768339
AR,Washington,9630946,10022776,10068527,10514117
AR,White,2208213,2118014,2131555,2184607
AR,Woodruff,171906,174357,166812,164189
AR,Yell,473010,549704,474537,451027
CA,Alameda,93795276,97646410,102214628,106058748
CA,Alpine,91253,80465,80855,97842
CA,Amador,1106242,1155937,1151793,1227219
CA,Butte,6399648,6647096,6631987,7035257
CA,Calaveras,771457,786451,739709,774564
