fips,state,county,labor_force12,employed12,unemployed12,unemp_rate12,labor_force15,employed15,unemployed15,unemp_rate15,labor_force16,employed16,unemployed16,unemp_rate16
10001,DE,Kent,74287,68394,5893,7.9,76292,72184,4108,5.4,77259,73467,3792,4.9
10003,DE,New Castle,278342,258855,19487,7,291341,277640,13701,4.7,293884,280885,12999,4.4
10005,DE,Sussex,92942,86207,6735,7.2,98099,93276,4823,4.9,101100,96560,4540,4.5
1001,AL,Autauga,25740,23961,1779,6.9,25613,24283,1330,5.2,25966,24645,1321,5.1
1003,AL,Baldwin,84414,78065,6349,7.5,87741,82882,4859,5.5,90670,85839,4831,5.3
1005,AL,Barbour,9362,8283,1079,11.5,8613,7848,765,8.9,8417,7717,700,8.3
1007,AL,Bibb,8798,8047,751,8.5,8576,8009,567,6.6,8623,8067,556,6.4
1009,AL,Blount,24960,23244,1716,6.9,24485,23163,1322,5.4,24623,23298,1325,5.4
1011,AL,Bullock,4736,4245,491,10.4,4779,4400,379,7.9,4833,4503,330,6.8
1013,AL,Butler,9088,8039,1049,11.5,9138,8444,694,7.6,9206,8571,635,6.9
1015,AL,Calhoun,49649,45252,4397,8.9,45928,42699,3229,7,45902,42906,2996,6.5
1017,AL,Chambers,15140,13646,1494,9.9,14980,14076,904,6,15006,14188,818,5.5
1019,AL,Cherokee,11268,10363,905,8,11162,10554,608,5.4,11353,10780,573,5
1021,AL,Chilton,19383,17982,1401,7.2,19143,18063,1080,5.6,19219,18167,1052,5.5
1023,AL,Choctaw,4791,4297,494,10.3,4380,3982,398,9.1,4334,3966,368,8.5
1025,AL,Clarke,8374,7116,1258,15,7994,7057,937,11.7,7966,7102,864,10.8
1027,AL,Clay,5413,4905,508,9.4,5551,5211,340,6.1,5634,5300,334,5.9
1029,AL,Cleburne,5838,5358,480,8.2,5680,5338,342,6,5796,5450,346,6
1031,AL,Coffee,20612,19159,1453,7,20279,19071,1208,6,20633,19424,1209,5.9
1033,AL,Colbert,24026,21922,2104,8.8,23613,21743,1870,7.9,23491,21862,1629,6.9
1035,AL,Conecuh,4635,4082,553,11.9,4683,4251,432,9.2,4556,4173,383,8.4
1037,AL,Coosa,4445,4029,416,9.4,4428,4132,296,6.7,4387,4126,261,5.9
1039,AL,Covington,16345,14978,1367,8.4,15464,14360,1104,7.1,15519,14472,1047,6.7
1041,AL,Crenshaw,6251,5732,519,8.3,6358,5977,381,6,6463,6085,378,5.8
1043,AL,Cullman,35568,32835,2733,7.7,36403,34489,1914,5.3,37971,36087,1884,5
1045,AL,Dale,21370,19781,1589,7.4,19846,18584,1262,6.4,19993,18839,1154,5.8
1047,AL,Dallas,16746,14583,2163,12.9,15596,14101,1495,9.6,15443,14023,1420,9.2
1049,AL,DeKalb,28833,26224,2609,9,28780,27035,1745,6.1,29283,27511,1772,6.1
1051,AL,Elmore,36629,34087,2542,6.9,36760,34914,1846,5,37292,35521,1771,4.7
1053,AL,Escambia,14732,13374,1358,9.2,14604,13578,1026,7,14577,13611,966,6.6
1055,AL,Etowah,44232,40589,3643,8.2,42703,40064,2639,6.2,43345,40787,2558,5.9
1057,AL,Fayette,6503,5943,560,8.6,6425,5974,451,7,6607,6163,444,6.7
1059,AL,Franklin,13976,12806,1170,8.4,13667,12788,879,6.4,13889,13074,815,5.9
1061,AL,Geneva,11274,10421,853,7.6,10791,10152,639,5.9,10825,10200,625,5.8
1063,AL,Greene,3125,2701,424,13.6,2879,2560,319,11.1,2876,2591,285,9.9
1065,AL,Hale,6212,5499,713,11.5,6050,5580,470,7.8,5991,5534,457,7.6
1067,AL,Henry,7030,6447,583,8.3,6718,6262,456,6.8,6733,6295,438,6.5
1069,AL,Houston,46054,42578,3476,7.5,44562,41786,2776,6.2,44624,42048,2576,5.8
1071,AL,Jackson,23731,21695,2036,8.6,23472,21911,1561,6.7,23623,22136,1487,6.3
