fips,state,county,labor_force,employed,unemployed,unemp_rate
1001,AL,Autauga,25966,24645,1321,5.1
1003,AL,Baldwin,90670,85839,4831,5.3
1005,AL,Barbour,8417,7717,700,8.3
1007,AL,Bibb,8623,8067,556,6.4
1009,AL,Blount,24623,23298,1325,5.4
1011,AL,Bullock,4833,4503,330,6.8
1013,AL,Butler,9206,8571,635,6.9
1015,AL,Calhoun,45902,42906,2996,6.5
1017,AL,Chambers,15006,14188,818,5.5
1019,AL,Cherokee,11353,10780,573,5
1021,AL,Chilton,19219,18167,1052,5.5
1023,AL,Choctaw,4334,3966,368,8.5
1025,AL,Clarke,7966,7102,864,10.8
1027,AL,Clay,5634,5300,334,5.9
1029,AL,Cleburne,5796,5450,346,6
1031,AL,Coffee,20633,19424,1209,5.9
1033,AL,Colbert,23491,21862,1629,6.9
1035,AL,Conecuh,4556,4173,383,8.4
1037,AL,Coosa,4387,4126,261,5.9
1039,AL,Covington,15519,14472,1047,6.7
1041,AL,Crenshaw,6463,6085,378,5.8
1043,AL,Cullman,37971,36087,1884,5
1045,AL,Dale,19993,18839,1154,5.8
1047,AL,Dallas,15443,14023,1420,9.2
1049,AL,DeKalb,29283,27511,1772,6.1
1051,AL,Elmore,37292,35521,1771,4.7
1053,AL,Escambia,14577,13611,966,6.6
1055,AL,Etowah,43345,40787,2558,5.9
1057,AL,Fayette,6607,6163,444,6.7
1059,AL,Franklin,13889,13074,815,5.9
1061,AL,Geneva,10825,10200,625,5.8
1063,AL,Greene,2876,2591,285,9.9
1065,AL,Hale,5991,5534,457,7.6
1067,AL,Henry,6733,6295,438,6.5
1069,AL,Houston,44624,42048,2576,5.8
1071,AL,Jackson,23623,22136,1487,6.3
1073,AL,Jefferson,311710,293873,17837,5.7
1075,AL,Lamar,5699,5379,320,5.6
1077,AL,Lauderdale,42599,39895,2704,6.3
1079,AL,Lawrence,13742,12795,947,6.9
1081,AL,Lee,72474,68690,3784,5.2
1083,AL,Limestone,40753,38621,2132,5.2
1085,AL,Lowndes,3806,3405,401,10.5
1087,AL,Macon,7881,7282,599,7.6
1089,AL,Madison,173846,164964,8882,5.1
1091,AL,Marengo,7684,7136,548,7.1
1093,AL,Marion,12517,11690,827,6.6
1095,AL,Marshall,41652,39434,2218,5.3
1097,AL,Mobile,188082,175642,12440,6.6
1099,AL,Monroe,7326,6664,662,9
1101,AL,Montgomery,105928,99944,5984,5.6
1103,AL,Morgan,54957,51923,3034,5.5
1105,AL,Perry,3472,3115,357,10.3
1107,AL,Pickens,7779,7246,533,6.9
1109,AL,Pike,14973,14002,971,6.5
1111,AL,Randolph,9444,8918,526,5.6
1113,AL,Russell,23571,22264,1307,5.5
1115,AL,St. Clair,39145,37122,2023,5.2
1117,AL,Shelby,109762,105053,4709,4.3
1119,AL,Sumter,5119,4726,393,7.7
1121,AL,Talladega,34872,32576,2296,6.6
1123,AL,Tallapoosa,18611,17575,1036,5.6
1125,AL,Tuscaloosa,99416,93818,5598,5.6
1127,AL,Walker,25607,23706,1901,7.4
1129,AL,Washington,6752,6172,580,8.6
1131,AL,Wilcox,2822,2416,406,14.4
1133,AL,Winston,9548,8872,676,7.1
2013,AK,Aleutians East Borough,2587,2517,70,2.7
2016,AK,Aleutians West Census Area,3978,3846,132,3.3
2020,AK,Anchorage Borough/municipality,155461,146890,8571,5.5
2050,AK,Bethel Census Area,7246,6214,1032,14.2
2060,AK,Bristol Bay Borough,413,384,29,7
2068,AK,Denali Borough,1094,995,99,9
2070,AK,Dillingham Census Area,2077,1877,200,9.6
2090,AK,Fairbanks North Star Borough,46449,43717,2732,5.9
2100,AK,Haines Borough,1074,964,110,10.2
2105,AK,Hoonah-Angoon Census Area,1205,1062,143,11.9
2110,AK,Juneau Borough/city,17338,16559,779,4.5
2122,AK,Kenai Peninsula Borough,27161,24847,2314,8.5
2130,AK,Ketchikan Gateway Borough,7026,6566,460,6.5
2150,AK,Kodiak Island Borough,6416,6086,330,5.1
2158,AK,Kusilvak Census Area,2725,2136,589,21.6
2164,AK,Lake and Peninsula Borough,655,573,82,12.5
2170,AK,Matanuska-Susitna Borough,47408,43505,3903,8.2
2180,AK,Nome Census Area,4084,3565,519,12.7
2185,AK,North Slope Borough,3953,3685,268,6.8
2188,AK,Northwest Arctic Borough,2964,2490,474,16
2195,AK,Petersburg Borough,1450,1319,131,9
2198,AK,Prince of Wales-Hyder Census Area,2768,2431,337,12.2
2220,AK,Sitka Borough/city,4371,4169,202,4.6
2230,AK,Skagway Municipality,805,715,90,11.2
2240,AK,Southeast Fairbanks Census Area,2996,2674,322,10.7
2261,AK,Valdez-Cordova Census Area,4810,4396,414,8.6
2275,AK,Wrangell Borough/city,1055,975,80,7.6
2282,AK,Yakutat Borough/city,243,223,20,8.2
2290,AK,Yukon-Koyukuk Census Area,2423,1990,433,17.9
4001,AZ,Apache,20320,17984,2336,11.5
4003,AZ,Cochise,49597,46498,3099,6.2
4005,AZ,Coconino,74181,69706,4475,6
4007,AZ,Gila,20996,19474,1522,7.2
4009,AZ,Graham,14373,13402,971,6.8
4011,AZ,Greenlee,3900,3604,296,7.6
4012,AZ,La Paz,8470,7957,513,6.1
4013,AZ,Maricopa,2080523,1985001,95522,4.6
4015,AZ,Mohave,80509,75168,5341,6.6
4017,AZ,Navajo,41330,37908,3422,8.3
4019,AZ,Pima,469613,446263,23350,5
4021,AZ,Pinal,163946,154832,9114,5.6
4023,AZ,Santa Cruz,19192,17261,1931,10.1
4025,AZ,Yavapai,99526,94609,4917,4.9
4027,AZ,Yuma,94117,76345,17772,18.9
5001,AR,Arkansas,9267,8952,315,3.4
5003,AR,Ashley,7735,7249,486,6.3
5005,AR,Baxter,16098,15408,690,4.3
5007,AR,Benton,127925,124210,3715,2.9
5009,AR,Boone,15930,15346,584,3.7
5011,AR,Bradley,4292,4067,225,5.2
5013,AR,Calhoun,2377,2268,109,4.6
5015,AR,Carroll,12871,12414,457,3.6
5017,AR,Chicot,3582,3347,235,6.6
5019,AR,Clark,9384,8970,414,4.4
5021,AR,Clay,6037,5697,340,5.6
5023,AR,Cleburne,9474,8912,562,5.9
5025,AR,Cleveland,3343,3193,150,4.5
5027,AR,Columbia,9267,8738,529,5.7
5029,AR,Conway,8444,7962,482,5.7
5031,AR,Craighead,52230,50539,1691,3.2
5033,AR,Crawford,26949,25902,1047,3.9
5035,AR,Crittenden,21608,20634,974,4.5
5037,AR,Cross,7882,7534,348,4.4
5039,AR,Dallas,2884,2739,145,5
5041,AR,Desha,5441,5145,296,5.4
5043,AR,Drew,7809,7357,452,5.8
5045,AR,Faulkner,60553,58259,2294,3.8
5047,AR,Franklin,7362,7066,296,4
5049,AR,Fulton,4666,4464,202,4.3
5051,AR,Garland,40084,38363,1721,4.3
5053,AR,Grant,8275,7977,298,3.6
5055,AR,Greene,19799,18953,846,4.3
5057,AR,Hempstead,9928,9554,374,3.8
5059,AR,Hot Spring,14069,13516,553,3.9
5061,AR,Howard,5950,5755,195,3.3
5063,AR,Independence,16006,15215,791,4.9
5065,AR,Izard,4964,4686,278,5.6
5067,AR,Jackson,6057,5680,377,6.2
5069,AR,Jefferson,28323,26739,1584,5.6
5071,AR,Johnson,10526,10028,498,4.7
5073,AR,Lafayette,2547,2397,150,5.9
5075,AR,Lawrence,6917,6618,299,4.3
5077,AR,Lee,3091,2946,145,4.7
5079,AR,Lincoln,4095,3898,197,4.8
5081,AR,Little River,5592,5331,261,4.7
5083,AR,Logan,9121,8703,418,4.6
5085,AR,Lonoke,33387,32279,1108,3.3
5087,AR,Madison,7286,7053,233,3.2
5089,AR,Marion,6521,6261,260,4
5091,AR,Miller,19869,19038,831,4.2
5093,AR,Mississippi,18066,16844,1222,6.8
5095,AR,Monroe,2879,2741,138,4.8
5097,AR,Montgomery,3100,2939,161,5.2
5099,AR,Nevada,3616,3482,134,3.7
5101,AR,Newton,3411,3280,131,3.8
5103,AR,Ouachita,9816,9320,496,5.1
5105,AR,Perry,4167,3968,199,4.8
5107,AR,Phillips,6657,6265,392,5.9
5109,AR,Pike,4170,3991,179,4.3
5111,AR,Poinsett,10091,9661,430,4.3
5113,AR,Polk,8150,7752,398,4.9
5115,AR,Pope,29216,27874,1342,4.6
5117,AR,Prairie,3650,3511,139,3.8
5119,AR,Pulaski,187109,180487,6622,3.5
5121,AR,Randolph,6521,6221,300,4.6
5123,AR,St. Francis,8829,8371,458,5.2
5125,AR,Saline,56860,55089,1771,3.1
5127,AR,Scott,4420,4256,164,3.7
5129,AR,Searcy,2989,2853,136,4.6
5131,AR,Sebastian,57601,55461,2140,3.7
5133,AR,Sevier,5627,5352,275,4.9
5135,AR,Sharp,6050,5722,328,5.4
5137,AR,Stone,4740,4497,243,5.1
5139,AR,Union,16312,15421,891,5.5
5141,AR,Van Buren,6101,5682,419,6.9
5143,AR,Washington,118386,115134,3252,2.7
5145,AR,White,34022,32258,1764,5.2
5147,AR,Woodruff,2968,2806,162,5.5
5149,AR,Yell,8668,8281,387,4.5
6001,CA,Alameda,832455,796753,35702,4.3
6003,CA,Alpine,555,519,36,6.5
6005,CA,Amador,14534,13670,864,5.9
6007,CA,Butte,101713,94995,6718,6.6
6009,CA,Calaveras,20812,19632,1180,5.7
6011,CA,Colusa,10910,9214,1696,15.5
6013,CA,Contra Costa,553635,528876,24759,4.5
6015,CA,Del Norte,9762,9028,734,7.5
6017,CA,El Dorado,88888,84324,4564,5.1
6019,CA,Fresno,444982,402728,42254,9.5
6021,CA,Glenn,12956,11878,1078,8.3
6023,CA,Humboldt,62468,59391,3077,4.9
6025,CA,Imperial,75207,57049,18158,24.1
